 ,"ABEJO, VANGIE (IND)","AFUANG, ABNER (WPP)","AGUILAR, FREDDIE (IND)","ALBANI, SHARIFF (WPP)","ALEJANO, GARY (LP)","ALFAJORA, RICHARD (IND)","ALUNAN, RAFFY (BGMBYN)","ANGARA, EDGARDO SONNY (LDP)","AQUINO, BENIGNO BAM  (LP)","ARCEGA, GERALD (WPP)","ARELLANO, ERNESTO (IND)","ARIAS, MARCELINO (WPP)","AUSTRIA, BERNARD (PDSP)","BALDEVARONA, BALDE (FFP)","BINAY, NANCY (UNA)","BONG REVILLA, RAMON JR (LAKAS)","CACERES, JESUS (IND)","CASI�O, TOTI (KDP)","CAYETANO, PIA (NP)","CHAVEZ, MELCHOR (WPP)","CHONG, GLENN (KDP)","COLMENARES, NERI (MKBYN)","DE GUZMAN, KA LEODY (PLM)","DELA ROSA, BATO (PDPLBN)","DIOKNO, CHEL (LP)","EJERCITO, ESTRADA JV (NPC)","ENRILE, JUAN PONCE (PMP)","ESCUDERO, AGNES (IND)","ESTRADA, JINGGOY (PMP)","FRANCISCO, ELMER (PFP)","GADDI, CHARLIE (IND)","GADON, LARRY (KBL)","GENEROSO,GEN PEDERALISMO (IND)","GO, BONG GO (PDPLBN)","GUIGAYUMA, JUNBERT (WPP)","GUTOC, SAMIRA (LP)","HILBAY, PILO (AKSYON)","JANGAO, BFG ABRAHAM (IND)","JAVELLANA, RJ (KDP)","LAPID, LITO (NPC)","MACALINTAL, MACAROMY (IND)","MALLILLIN, EMILY (IND)","MANGONDATO, FAISAL (IND)","MANGUDADATU, DONG (PDPLBN)","MANICAD, JIGGY (IND)","MARCOS, IMEE (NP)","MATULA, JOSE SONNY (WPP)","MENIANO, LUTHER (WPP)","MONTA�O, ALLAN (IND)","NALLIW, JOAN SHEELAH (IND)","ONG, DOC WILLIE (LAKAS)","OSME�A, SERGE (IND)","PADILLA, DADO (PFP)","PIMENTEL, KOKO (PDPLBN)","POE, GRACE (IND)","ROLEDA, DAN KAIBIGAN (UNA)","ROXAS, MAR (LP)","SAHIDULLA, LADY ANN (KDP)","TA�ADA,LORENZO ERIN TAPAT (LP)","TOLENTINO, FRANCIS (PDPLBN)","VALDES, BUTCH (KDP)","VILLAR, CYNTHIA (NP)",Total
NEGROS OCCIDENTAL,34085,22305,70314,19931,285767,19776,116965,532747,561106,16150,46839,17220,13798,14703,409414,363610,15296,21816,489140,30605,43961,291288,23934,399202,226349,392438,140990,49386,267440,15588,9868,60526,14692,467482,10007,154020,106170,14214,18094,453473,120162,10811,53929,142358,78494,290259,17262,6065,35031,7356,116996,356830,30860,356481,630507,13234,544200,9931,134061,358437,11808,712514,10298295
GUIMARAS,1014,767,3357,714,15146,764,1893,39236,39727,705,2024,557,490,589,22551,25436,509,742,27909,1601,1941,9173,988,23043,15619,28528,8558,2202,16681,698,372,2682,865,36943,470,7501,4716,600,653,23356,7653,459,2225,9456,6660,14572,587,233,1969,290,6859,16687,1690,32077,50597,719,42249,442,6394,24512,459,53236,651345
BATAAN,4750,4877,15891,2851,41517,2939,13982,219318,161940,3082,7210,2998,3180,2350,184783,134409,2410,4263,186004,6224,18887,40520,9250,192809,62134,189541,65447,14020,115869,3277,2718,35453,3259,204058,1793,35966,24879,2844,1738,171847,35231,2161,10525,49542,99825,150211,3037,1206,6043,1548,91679,77774,7833,164492,274604,3301,86589,2458,34319,163652,4262,287602,3759181
BULACAN,17824,20124,82371,11690,185003,12050,68295,619184,542075,12145,28679,12746,10751,8788,505850,437780,9626,18875,709012,24172,81642,193855,43677,573839,268693,549606,169994,59003,387197,12867,10787,157287,14646,580373,6974,151092,111184,12318,7533,612005,179589,8756,43864,150216,434625,537313,14236,4840,32663,6515,387552,363868,28729,473280,857405,10685,309653,10711,153185,467855,12945,853367,12683464
NUEVA ECIJA,10784,11976,39401,7073,97527,7723,26096,466153,337759,7607,15367,7391,7052,7433,443759,428485,5319,9909,463584,15452,38177,95325,18202,380537,139968,404264,154122,33079,391118,6949,5656,71083,7630,420250,4337,74633,53997,8237,4832,544858,85881,4849,25256,79831,211857,487073,7157,2782,15791,4025,177549,197789,75788,278548,634915,7524,217474,5896,73306,308460,7617,560776,8743248
PAMPANGA,11140,10259,48183,7715,97946,7722,44387,416538,342388,7978,18166,8098,6627,5974,357663,366206,6077,10753,516577,17738,55936,92557,20808,461006,156633,320381,99531,35382,249615,8535,8450,101498,9286,481637,4659,79995,55817,7271,4660,746328,103050,5805,27948,102822,297351,363847,7835,3048,19491,4199,240089,208088,19730,334995,576520,7089,193293,6477,79540,356072,7505,693203,8966117
TARLAC,8009,7142,28535,5321,90603,5407,17517,275267,358355,4981,11558,5861,4424,3820,236448,216934,3870,7489,309776,10813,24252,80512,11772,215492,117144,195725,73271,21728,171500,4655,4279,39270,5156,262948,3209,71196,46521,5120,3163,388219,67780,3665,13704,41318,108656,230855,4745,1720,10951,2819,107553,149922,14213,159382,408718,4860,224767,4253,63634,176754,4758,371823,5534112
ZAMBALES,4253,3873,18252,3223,40374,2855,12774,166954,134605,2671,6968,3486,2609,2207,152804,126218,2310,4061,182195,7228,18371,37712,6636,139998,59983,134398,59438,15979,116820,2918,2224,33035,3477,156476,1684,34649,20737,2743,1696,190898,28936,1887,12799,39301,54363,153724,2686,1251,7221,1748,81816,89370,8231,128419,224793,2640,90680,2532,28302,118720,2757,231078,3233046
AURORA,880,842,4310,648,7067,554,2152,79363,26706,553,1521,777,539,553,43848,42280,441,929,40779,1405,3143,8569,1353,35548,11301,34259,12451,2767,36277,664,419,5022,636,35186,346,6097,4362,972,422,44380,6419,493,2547,9115,12864,41176,667,212,1105,662,12509,16321,7701,27170,58774,677,20567,455,5598,31988,1086,57419,815846
ALBAY,14707,8978,28385,9745,175405,8253,14923,205749,342104,7559,18878,7867,6171,5916,191114,150598,7176,9405,228520,13066,16998,119919,18230,107830,177565,143249,68982,38471,115696,6474,4907,29003,6200,144593,4712,138541,110242,7263,4557,210923,125295,4714,14957,33533,65384,79476,6661,2817,18113,3409,81263,133375,14920,149786,346857,6421,255056,5131,136437,165514,4868,301248,4884109
CAMARINES NORTE,4314,3517,11783,3117,71892,2794,5253,99584,130800,3307,7529,2530,2354,1966,86390,82640,2449,3456,89225,4639,6775,36180,5405,54338,72303,78975,29083,13369,66854,2941,1920,11303,2422,61609,1654,62133,46009,2898,1545,118154,62933,1741,6468,17155,32061,49238,2819,929,4802,1315,36372,48576,13299,70890,164644,2341,102313,2051,56391,60267,1811,130924,2164749
CAMARINES SUR,17053,9591,30676,10191,276589,9061,14064,277881,498737,7657,21308,7791,6226,6107,220423,221867,12364,10591,293297,14839,23113,144905,17283,149720,278718,165080,81878,31543,151233,7153,5003,28701,6496,195368,5065,258976,198205,7396,4580,302600,246952,5110,15136,28914,81370,118934,8172,3100,13876,3471,91821,139958,15529,178670,480765,7047,388779,5812,232787,187580,5449,397800,6686361
CATANDUANES,3395,2356,8793,2613,35567,1913,4129,47019,68529,1852,4594,1595,1414,1418,48503,53101,1501,2119,50084,4258,4609,21368,2844,28627,34364,44463,15198,7319,42665,1931,1282,7565,1616,32048,1140,27962,21251,1775,1100,52156,29549,1245,3986,8849,22407,21481,1893,1098,3438,769,18046,26036,3665,33288,82290,1610,51011,1392,22916,30427,1160,72780,1135372
MASBATE,9585,5836,26649,4977,42027,4628,7784,82170,117233,3940,8620,4023,3621,2979,88541,137873,4022,5484,90423,6924,9626,48711,5366,94580,53285,70275,29956,10700,79078,4315,2422,12669,3449,122175,2566,37237,32234,4208,2814,122606,36857,2828,9559,25019,24278,51082,3199,1605,7210,1825,23834,53422,9496,96048,126767,3702,92911,2583,35804,79473,2466,145167,2240746
SORSOGON,7075,4660,16735,4606,83227,4181,7304,132943,192041,3825,12222,3485,2965,3450,123587,107283,3468,5525,132111,7716,8695,63149,7848,75559,85020,98773,36295,38944,84901,3826,2621,15220,3316,85332,2571,63462,51630,3957,2601,168424,64573,2776,8239,19556,38498,51258,4109,1518,7391,1838,41001,64736,8392,85136,215791,3703,128960,2627,58842,81793,3127,188546,2842963
ILOCOS NORTE,2004,1607,8772,1767,5068,1385,6456,78829,23665,1177,2558,1909,1134,1072,76065,87340,1046,2061,82591,2586,17254,8623,2160,101400,10257,65060,33705,4544,66646,1467,1087,27487,1605,97237,759,5063,4299,1471,795,80169,5284,990,7007,21986,17808,291523,1155,555,2518,814,26351,26176,3947,57128,98109,1206,17238,878,4545,67664,3544,132163,1708769
ILOCOS SUR,2557,2125,15302,1618,10602,1703,8388,110160,49538,1709,4351,2099,1436,1430,116122,120988,1253,2421,131108,2789,22655,17394,3292,145798,17729,95042,48978,7018,85896,1614,1299,26264,1781,159520,1117,8725,7425,2005,1305,120174,9706,1347,8537,29519,31321,290706,1237,709,3236,2135,40538,42295,5252,83332,170949,1613,36590,1108,8116,104033,2329,205253,2442591
LA UNION,2784,2772,16239,2214,19387,2332,12616,154663,73254,2495,8004,2398,3058,2002,161601,153588,1639,3598,172219,4682,28361,22317,6416,176067,27218,145495,52827,10002,124395,2346,1850,35314,2567,208043,1396,13562,9186,2436,1608,151688,13901,1885,12899,60718,46281,300798,1780,984,4597,2724,56829,67857,5567,124195,217212,2414,51908,1944,13500,132976,3229,248346,3197183
PANGASINAN,21334,17889,83313,16144,118753,14251,49642,629049,498155,13974,29592,17618,15700,10642,609944,617888,13191,22005,749383,33675,74675,132270,30351,538973,171365,501273,241480,63068,480792,14037,10274,125480,16177,593916,8932,96957,58502,16565,8805,781723,105685,11019,49535,138579,226862,777696,12206,5765,33155,7693,251023,330186,35085,460854,929369,12311,341027,10168,86674,470776,14060,978034,12835519
