 ,"ABEJO, VANGIE (IND)","AFUANG, ABNER (WPP)","AGUILAR, FREDDIE (IND)","ALBANI, SHARIFF (WPP)","ALEJANO, GARY (LP)","ALFAJORA, RICHARD (IND)","ALUNAN, RAFFY (BGMBYN)","ANGARA, EDGARDO SONNY (LDP)","AQUINO, BENIGNO BAM  (LP)","ARCEGA, GERALD (WPP)","ARELLANO, ERNESTO (IND)","ARIAS, MARCELINO (WPP)","AUSTRIA, BERNARD (PDSP)","BALDEVARONA, BALDE (FFP)","BINAY, NANCY (UNA)","BONG REVILLA, RAMON JR (LAKAS)","CACERES, JESUS (IND)","CASI�O, TOTI (KDP)","CAYETANO, PIA (NP)","CHAVEZ, MELCHOR (WPP)","CHONG, GLENN (KDP)","COLMENARES, NERI (MKBYN)","DE GUZMAN, KA LEODY (PLM)","DELA ROSA, BATO (PDPLBN)","DIOKNO, CHEL (LP)","EJERCITO, ESTRADA JV (NPC)","ENRILE, JUAN PONCE (PMP)","ESCUDERO, AGNES (IND)","ESTRADA, JINGGOY (PMP)","FRANCISCO, ELMER (PFP)","GADDI, CHARLIE (IND)","GADON, LARRY (KBL)","GENEROSO,GEN PEDERALISMO (IND)","GO, BONG GO (PDPLBN)","GUIGAYUMA, JUNBERT (WPP)","GUTOC, SAMIRA (LP)","HILBAY, PILO (AKSYON)","JANGAO, BFG ABRAHAM (IND)","JAVELLANA, RJ (KDP)","LAPID, LITO (NPC)","MACALINTAL, MACAROMY (IND)","MALLILLIN, EMILY (IND)","MANGONDATO, FAISAL (IND)","MANGUDADATU, DONG (PDPLBN)","MANICAD, JIGGY (IND)","MARCOS, IMEE (NP)","MATULA, JOSE SONNY (WPP)","MENIANO, LUTHER (WPP)","MONTA�O, ALLAN (IND)","NALLIW, JOAN SHEELAH (IND)","ONG, DOC WILLIE (LAKAS)","OSME�A, SERGE (IND)","PADILLA, DADO (PFP)","PIMENTEL, KOKO (PDPLBN)","POE, GRACE (IND)","ROLEDA, DAN KAIBIGAN (UNA)","ROXAS, MAR (LP)","SAHIDULLA, LADY ANN (KDP)","TA�ADA,LORENZO ERIN TAPAT (LP)","TOLENTINO, FRANCIS (PDPLBN)","VALDES, BUTCH (KDP)","VILLAR, CYNTHIA (NP)",Total
DINAGAT ISLANDS,944,646,3563,632,3492,560,3561,13132,10202,452,929,470,361,353,10411,21925,380,649,20936,846,2001,2977,626,28785,4221,10559,3394,1708,13207,436,247,2013,583,30812,291,2797,1640,473,274,21572,2060,304,3266,14739,3991,18870,361,191,1093,214,3518,5602,1317,20878,15182,433,7215,239,2191,19190,378,29601,373893
COTABATO (NORTH COT.),6735,5532,44858,8556,16712,4163,18268,186260,105443,4689,9741,4452,3837,3839,182209,244302,4265,6409,236637,8060,17539,20367,6851,326257,21481,191221,53757,15329,176610,4678,2665,21575,5346,331559,3176,34534,6608,7352,2900,249182,13871,3412,61351,238450,33237,200733,4089,2279,10370,2369,32569,76400,19534,197806,212856,5763,62508,5458,12273,219322,4276,305317,4328197
SOUTH COTABATO,10718,8413,56758,8757,43959,6442,31021,328887,175382,6868,14476,6961,5432,5127,242409,233453,7303,9209,355306,14434,33853,36092,9546,349546,57851,266856,84345,22206,215480,6532,4199,42378,7752,367564,4288,35605,21828,8100,5327,251905,29107,4154,52243,199263,48552,248351,6235,2568,28135,3464,67910,130033,22350,278340,302216,17009,121812,5617,31053,269149,5495,396715,5672339
SULTAN KUDARAT,4627,3629,26146,5898,12624,2999,12174,124196,68546,3115,5718,3108,2439,2478,107632,151191,2183,3838,117130,5338,8981,10070,4465,144453,15136,111099,35455,9151,111871,2890,1581,10956,3277,169888,1813,20485,4842,4212,2090,116995,19061,2067,20010,120107,17089,108434,6084,1160,7294,1441,18932,43165,11310,108120,129282,3939,44450,4105,8205,103474,3698,175102,2411248
SARANGANI,4711,3452,21908,4657,8961,2770,10151,78112,41426,2314,4461,2338,2016,1705,57566,95035,2619,3733,89174,4166,6769,7532,3563,106498,11475,58332,23372,6061,73155,2682,1389,7409,3354,113383,1758,8046,3539,3299,1554,81866,5871,1649,17164,59455,10164,62953,1993,996,5626,1421,11408,29035,8415,81702,87410,4838,27644,2400,4944,76830,1795,106220,1576244
DAVAO (DAVAO DEL NORTE),6455,4202,59157,4613,11119,3676,32486,201477,61214,3837,8547,3525,3777,2699,109408,169010,2865,5074,252216,7454,25687,16677,5209,335447,15824,169013,53436,12586,137923,3654,2208,31410,5476,332310,2352,8372,5475,4076,2258,141535,8063,3121,40509,170339,55280,187847,2971,1268,8553,1978,41297,68880,11302,225415,158051,4723,30367,2459,21721,241931,2941,265128,3817883
DAVAO ORIENTAL,4409,3316,19675,3480,7419,2791,8128,87609,42842,2612,4823,2394,2099,1924,64337,116660,1838,3330,104218,4298,8705,8259,3392,143137,9069,81013,21856,5604,73649,2130,1289,10235,2989,153083,1455,5992,3203,2795,1617,82360,5251,1574,22107,66980,16992,72442,1748,843,4083,1182,13146,29471,7313,77833,79971,2653,27147,1852,4380,85683,1576,131712,1765973
COMPOSTELA VALLEY,5332,3933,23987,3808,9462,3058,9720,118506,54252,2934,5944,3384,2596,2088,75393,131381,2203,4334,143648,4943,9938,10765,4013,213494,12043,103705,28727,9155,97058,2858,1539,13373,5102,220526,1814,8056,4200,3057,1803,106650,5938,1872,27161,84559,24298,100662,1990,1180,6379,1478,17964,42220,8625,121438,111098,3419,33188,1933,6132,126029,1891,169485,2367721
DAVAO OCCIDENTAL,1569,981,7128,1180,1707,909,1977,24122,11047,810,1246,712,773,506,16131,43020,495,1071,35392,1995,2009,1667,1152,70815,2043,29677,7376,1517,24328,766,343,2234,830,69549,723,1294,790,846,556,21804,1379,473,6639,26669,5341,32156,488,263,1658,381,2614,7441,2311,28669,21430,1107,5401,534,1161,39344,619,42834,622002
BOHOL,13292,7297,52342,7331,44444,6915,28465,303457,194657,7000,17012,8524,6497,4925,209928,177652,6621,8763,325038,12774,35781,41656,8873,354114,67346,178780,67136,22472,137385,7680,4620,38403,7102,344646,4268,25415,23893,6525,3939,211491,30920,4297,41735,138821,66935,172011,6674,3247,21370,3035,78132,156469,15828,229576,285949,6775,126820,3733,33276,253034,4779,391972,5109847
